book_title;book_author;book_publishing;book_new_price;book_old_price;book_discount;book_status
Безопасность веб-приложений;Хоффман Эндрю;Питер : Бестселлеры O`Reilly;1994;2557;22;На складе
Распределенные данные. Алгоритмы работы современных систем хранения информации;Петров Алекс;Питер : Бестселлеры O`Reilly;2161;2771;22;На складе
Безопасно by Design;Берг Джонсон Дэн;Питер : Библиотека программиста;1751;2245;22;На складе
Разработка на JavaScript. Построение кроссплатформенных приложений с помощью GraphQL, React;Скотт Адам Д.;Питер : Бестселлеры O`Reilly;1901;2437;22;На складе
Пакет прикладных программ. Учебное пособие;Шитов Виктор Николаевич;ИНФРА-М : Среднее профессиональное образование;2100;3000;30;На складе
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor;Лянг Виктор Федорович;ИНФРА-М : Высшее образование. Бакалавриат;1663;2376;30;На складе
Искусство тестирования на проникновение в сеть;Дэвис Ройс;Нет издательства;1322;1888;30;На складе
Построение пользовательских интерфейсов;Малышев Кирилл Викторович;Нет издательства;1189;1699;30;На складе
Data Science для карьериста;Нолис Жаклин;Питер : Библиотека программиста;1945;2494;22;На складе
Экстремальный Cи. Параллелизм, ООП и продвинутые возможности;Амини Камран;Питер : Для профессионалов;2457;3150;22;На складе
Алгоритмы обработки текста. 125 задач с решениями;Крошемор Максим;Нет издательства;1322;1888;30;На складе
Аналитика в Power BI с помощью R и Python;Уэйд Райан;Нет издательства;1718;2454;30;На складе
Программирование. Введение в профессию. Том 2. Системы и сети;Столяров Андрей Викторович;Нет издательства;1982;2832;30;На складе
Программирование. Введение в профессию. Том 3. Парадигмы;Столяров Андрей Викторович;Нет издательства;1982;2832;30;На складе
C#. Алгоритмы и структуры данных. Учебное пособие для вузов;Тюкачев Николай Аркадьевич;Лань : Компьютеры и программное обеспечение;2328;3326;30;Ограничено
Python, например;Лейси Никола;Питер : Библиотека программиста;987;1265;22;На складе
Изучаем SQL. Генерация, выборка и обработка данных;Болье Алан;Нет издательства;2240;3200;30;На складе
Знакомство с программированием на языке Processing;Риас Кейси;Нет издательства;991;1415;30;На складе
Arduino. Большая книга рецептов;Марголис Майкл;Нет издательства;1372;1960;30;На складе
Active Directory глазами хакера;Hacker Ralf;BHV : Глазами Хакера;343;490;30;На складе
Web-сервер глазами хакера;Фленов Михаил Евгеньевич;BHV : Глазами Хакера;490;700;30;На складе
